,Location,PercentBet_ML,Average_Line_ML,PercentBet_Spread,Average_Line_Spread,Average_Odds_Spread,PercentBet_OU,Average_Line_OU,Average_Odds_OU,Pts,Spread,Result,Total,Spread WL,Over/Under WL,MoneyLine WL
0,away,46.0,183.2,45.1,4.7,-105.8,56.9,210.92,-106.17,87,-18,L,192,0,0,0
1,home,54.0,-210.4,54.9,-4.7,-108.2,43.1,210.92,-108.83,105,18,W,192,1,0,1
2,away,55.7,713.6,42.4,12.5,-106.0,52.2,220.83,-108.33,100,-8,L,208,1,0,0
3,home,44.3,-1015.4,57.6,-12.5,-109.83,47.8,220.83,-106.67,108,8,W,208,0,0,1
4,away,58.9,-162.0,58.6,-3.5,-109.4,56.7,221.08,-108.67,113,1,W,225,0,1,1
5,home,41.1,145.0,41.4,3.5,-104.6,43.3,221.08,-106.33,112,-1,L,225,1,1,0
6,away,47.7,209.2,49.3,5.83,-108.67,47.0,212.33,-108.0,100,-3,L,203,1,0,0
7,home,52.3,-242.4,50.7,-5.83,-106.33,53.0,212.33,-107.0,103,3,W,203,0,0,1
8,away,43.9,250.2,51.5,7.42,-109.5,37.6,205.33,-105.83,83,-28,L,194,0,0,0
9,home,56.1,-294.4,48.5,-7.42,-105.5,62.4,205.33,-109.17,111,28,W,194,1,0,1
10,away,42.3,-132.6,51.7,-2.42,-106.0,38.6,208.6,-105.6,101,-3,L,205,0,0,0
11,home,57.7,116.0,48.3,2.42,-109.0,61.4,208.62,-109.25,104,3,W,205,1,0,1
12,away,87.5,148.4,13.3,3.6,-104.2,56.7,216.42,-108.33,107,-19,L,233,0,1,0
13,home,12.5,-165.6,86.7,-3.6,-109.8,43.3,216.42,-106.67,126,19,W,233,1,1,1
14,away,37.9,767.6,54.5,12.33,-106.33,50.0,214.92,-110.33,104,-12,L,220,1,1,0
15,home,62.1,-1081.8,45.5,-12.33,-108.67,50.0,214.92,-104.67,116,12,W,220,0,1,1
16,away,43.1,292.8,50.0,7.83,-105.83,45.2,231.67,-106.17,131,19,W,243,1,1,1
17,home,56.9,-349.6,50.0,-7.83,-109.17,54.8,231.67,-108.83,112,-19,L,243,0,1,0
18,away,40.3,118.6,45.7,2.6,-109.4,51.2,211.75,-107.67,108,-4,L,220,0,1,0
19,home,59.7,-135.0,54.3,-2.6,-104.6,48.8,211.75,-107.33,112,4,W,220,1,1,1
20,away,58.1,-398.8,55.6,-8.6,-105.4,37.5,205.83,-108.5,123,6,W,240,0,1,1
21,home,41.9,327.0,44.4,8.6,-108.6,62.5,205.83,-106.5,117,-6,L,240,1,1,0
22,away,56.1,-136.4,58.6,-1.75,-109.17,42.4,224.17,-107.0,107,9,W,205,1,0,1
23,home,43.9,120.0,41.4,1.75,-105.83,57.6,224.17,-108.0,98,-9,L,205,0,0,0
24,away,47.7,-134.8,45.7,-1.83,-107.17,45.1,213.42,-108.67,100,-21,L,221,0,1,0
25,home,52.3,118.2,54.3,1.83,-107.83,54.9,213.42,-106.33,121,21,W,221,1,1,1
26,away,47.9,695.8,44.9,12.25,-108.33,48.4,219.83,-109.33,108,-19,L,235,0,1,0
27,home,52.1,-950.6,55.1,-12.25,-106.67,51.6,219.83,-105.67,127,19,W,235,1,1,1
28,away,40.2,209.2,41.5,5.33,-107.0,57.2,214.25,-108.0,113,1,W,225,1,1,1
29,home,59.8,-242.4,58.5,-5.33,-108.0,42.8,214.25,-107.0,112,-1,L,225,0,1,0
30,away,61.3,128.6,52.0,3.08,-108.67,57.0,223.92,-109.17,119,-9,L,247,0,1,0
31,home,38.7,-145.2,48.0,-3.08,-106.33,43.0,223.92,-105.83,128,9,W,247,1,1,1
32,away,47.6,-120.2,57.1,-1.25,-106.5,49.8,215.83,-107.5,120,32,W,208,1,0,1
33,home,52.4,104.0,42.9,1.25,-108.5,50.2,215.83,-107.5,88,-32,L,208,0,0,0
34,away,56.3,151.4,42.8,3.83,-106.5,59.8,221.17,-109.17,105,-2,L,212,1,0,0
35,home,43.7,-168.8,57.2,-3.83,-108.5,40.2,221.17,-105.83,107,2,W,212,0,0,1
36,away,64.3,129.8,53.4,3.0,-106.83,56.4,208.92,-110.17,101,-12,L,214,0,1,0
37,home,35.7,-146.6,46.6,-3.0,-108.17,43.6,208.92,-105.0,113,12,W,214,1,1,1
38,away,45.7,243.0,47.5,6.83,-106.0,53.1,214.75,-108.33,117,-14,L,248,0,1,0
39,home,54.3,-283.6,52.5,-6.83,-109.0,46.9,214.75,-106.67,131,14,W,248,1,1,1
40,away,37.7,309.8,56.2,8.42,-109.5,44.7,223.25,-107.83,123,-8,L,254,1,1,0
41,home,62.3,-373.2,43.8,-8.42,-105.83,55.3,223.25,-107.17,131,8,W,254,0,1,1
42,away,49.7,599.8,48.0,11.33,-106.0,59.9,231.25,-105.67,129,-20,L,278,0,1,0
43,home,50.3,-819.0,52.0,-11.33,-109.33,40.1,231.25,-110.0,149,20,W,278,1,1,1
44,away,53.7,153.4,46.4,3.75,-104.83,57.2,216.25,-109.17,101,-17,L,219,0,1,0
45,home,46.3,-170.8,53.6,-3.75,-111.33,42.8,216.25,-105.83,118,17,W,219,1,1,1
46,away,58.6,-139.0,55.6,-2.5,-107.83,59.4,218.25,-107.67,124,1,W,247,0,1,1
47,home,41.4,122.4,44.4,2.5,-107.17,40.6,218.25,-107.33,123,-1,L,247,1,1,0
48,away,63.1,128.6,54.6,2.58,-107.17,46.9,214.25,-109.33,92,-16,L,200,0,0,0
49,home,36.9,-145.2,45.4,-2.58,-107.83,53.1,214.25,-106.5,108,16,W,200,1,0,1
50,away,54.7,310.6,47.8,8.25,-108.5,63.5,213.42,-106.17,112,-20,L,244,0,1,0
51,home,45.3,-375.8,52.2,-8.25,-106.5,36.5,213.42,-108.83,132,20,W,244,1,1,1
52,away,42.9,113.0,43.7,1.5,-106.5,62.7,219.08,-110.0,117,4,W,230,1,1,1
53,home,57.1,-129.4,56.3,-1.5,-108.5,37.3,219.08,-105.83,113,-4,L,230,0,1,0
54,away,47.2,-505.6,51.0,-9.33,-109.33,52.9,210.5,-109.33,103,2,W,204,0,0,1
55,home,52.8,405.6,49.0,9.33,-106.5,47.1,210.5,-105.67,101,-2,L,204,1,0,0
56,away,60.5,842.2,42.9,12.58,-107.17,58.1,217.42,-107.0,115,-1,L,231,1,1,0
57,home,39.5,-1209.0,57.1,-12.58,-107.83,41.9,217.42,-108.0,116,1,W,231,0,1,1
