,,,Home,ML,Percent Bet ML,Spread,Percent Bet Spread,Odds of Spread,O/U,Percent Bet O/U,Odds of O/U,ML WL,Spread WL,O/U WL,,,Home,Percent Bet O/U,O/U WL
,,,,,,,,,,,,,,,,,,,
Round 1,16-Apr,Jazz vs Mavericks ,0,-240,83,-5.5,66,-110,208,56,-110,1,1,0,,,0 = Away,% = Over,0 = Under
,,,1,194,17,5.5,34,-110,208,44,-110,0,0,1,,,,,
,16-Apr,Timberwolves vs Grizzlies ,0,220,9,6.5,33,-110,237.5,75,-110,1,1,1,,,1 = Home,,1 = Over
,,,1,-270,91,-6.5,67,-110,237.5,25,-110,0,0,0,,,,,
,16-Apr,Raptors vs 76ers,0,166,15,5,48,-110,215.5,48,-110,0,0,1,,,,,
,,,1,-198,85,-5,52,-110,215.5,52,-110,1,1,0,,,,,
,16-Apr,Nuggets vs Warriors ,0,220,24,6.5,52,-110,223,45,-110,0,0,1,,,,,
,,,1,-270,76,-6.5,48,-110,223,55,-110,1,1,0,,,,,
,17-Apr,Pelicans vs Suns,0,390,4,10,30,-110,224,45,-110,0,0,0,,,,,
,,,1,-510,96,-10,70,-110,224,55,-110,1,1,1,,,,,
,17-Apr,Bulls vs Bucks ,0,460,8,10.5,36,-110,230,30,-110,0,1,0,,,,,
,,,1,-620,92,-10.5,64,-110,230,70,-110,1,0,1,,,,,
,17-Apr,Nets vs Celtics ,0,148,56,4.5,54,-110,226,57,-110,0,1,1,,,,,
,,,1,-176,44,-4.5,46,-110,226,43,-110,1,0,0,,,,,
,17-Apr,Hawks vs Heat,0,230,17,7,38,-110,220.5,62,-110,0,0,0,,,,,
,,,1,-280,83,7,62,-110,220.5,38,-110,1,1,1,,,,,
,18-Apr,Nuggets vs Warriors ,0,245,13,7,38,-110,222.5,33,-110,0,0,1,,,,,
,,,1,-300,87,-7,62,-110,222.5,67,-110,1,1,0,,,,,
