Location,PercentBet_ML,Average_Line_ML,PercentBet_Spread,Average_Line_Spread,Average_Odds_Spread,PercentBet_OU,Average_Line_OU,Average_Odds_OU,Pts,Result,Total
away,46,183.2,45.1,4.7,-105.8,56.9,210.92,-106.17,87,L,192
home,54,-210.4,54.9,-4.7,-108.2,43.1,210.92,-108.83,105,W,192
away,55.7,713.6,42.4,12.5,-106,52.2,220.83,-108.33,100,L,208
home,44.3,-1015.4,57.6,-12.5,-109.83,47.8,220.83,-106.67,108,W,208
away,58.9,-162,58.6,-3.5,-109.4,56.7,221.08,-108.67,113,W,225
home,41.1,145,41.4,3.5,-104.6,43.3,221.08,-106.33,112,L,225
away,47.7,209.2,49.3,5.83,-108.67,47,212.33,-108,100,L,203
home,52.3,-242.4,50.7,-5.83,-106.33,53,212.33,-107,103,W,203
away,43.9,250.2,51.5,7.42,-109.5,37.6,205.33,-105.83,83,L,194
home,56.1,-294.4,48.5,-7.42,-105.5,62.4,205.33,-109.17,111,W,194
away,42.3,-132.6,51.7,-2.42,-106,38.6,208.6,-105.6,101,L,205
home,57.7,116,48.3,2.42,-109,61.4,208.62,-109.25,104,W,205
away,87.5,148.4,13.3,3.6,-104.2,56.7,216.42,-108.33,107,L,233
home,12.5,-165.6,86.7,-3.6,-109.8,43.3,216.42,-106.67,126,W,233
away,37.9,767.6,54.5,12.33,-106.33,50,214.92,-110.33,104,L,220
home,62.1,-1081.8,45.5,-12.33,-108.67,50,214.92,-104.67,116,W,220
away,43.1,292.8,50,7.83,-105.83,45.2,231.67,-106.17,131,W,243
home,56.9,-349.6,50,-7.83,-109.17,54.8,231.67,-108.83,112,L,243
away,40.3,118.6,45.7,2.6,-109.4,51.2,211.75,-107.67,108,L,220
home,59.7,-135,54.3,-2.6,-104.6,48.8,211.75,-107.33,112,W,220
away,58.1,-398.8,55.6,-8.6,-105.4,37.5,205.83,-108.5,123,W,240
home,41.9,327,44.4,8.6,-108.6,62.5,205.83,-106.5,117,L,240
away,56.1,-136.4,58.6,-1.75,-109.17,42.4,224.17,-107,107,W,205
home,43.9,120,41.4,1.75,-105.83,57.6,224.17,-108,98,L,205
away,47.7,-134.8,45.7,-1.83,-107.17,45.1,213.42,-108.67,100,L,221
home,52.3,118.2,54.3,1.83,-107.83,54.9,213.42,-106.33,121,W,221
away,47.9,695.8,44.9,12.25,-108.33,48.4,219.83,-109.33,108,L,235
home,52.1,-950.6,55.1,-12.25,-106.67,51.6,219.83,-105.67,127,W,235
away,40.2,209.2,41.5,5.33,-107,57.2,214.25,-108,113,W,225
home,59.8,-242.4,58.5,-5.33,-108,42.8,214.25,-107,112,L,225
away,61.3,128.6,52,3.08,-108.67,57,223.92,-109.17,119,L,247
home,38.7,-145.2,48,-3.08,-106.33,43,223.92,-105.83,128,W,247
away,47.6,-120.2,57.1,-1.25,-106.5,49.8,215.83,-107.5,120,W,208
home,52.4,104,42.9,1.25,-108.5,50.2,215.83,-107.5,88,L,208
away,56.3,151.4,42.8,3.83,-106.5,59.8,221.17,-109.17,105,L,212
home,43.7,-168.8,57.2,-3.83,-108.5,40.2,221.17,-105.83,107,W,212
away,64.3,129.8,53.4,3,-106.83,56.4,208.92,-110.17,101,L,214
home,35.7,-146.6,46.6,-3,-108.17,43.6,208.92,-105,113,W,214
away,45.7,243,47.5,6.83,-106,53.1,214.75,-108.33,117,L,248
home,54.3,-283.6,52.5,-6.83,-109,46.9,214.75,-106.67,131,W,248
away,37.7,309.8,56.2,8.42,-109.5,44.7,223.25,-107.83,123,L,254
home,62.3,-373.2,43.8,-8.42,-105.83,55.3,223.25,-107.17,131,W,254
away,49.7,599.8,48,11.33,-106,59.9,231.25,-105.67,129,L,278
home,50.3,-819,52,-11.33,-109.33,40.1,231.25,-110,149,W,278
away,53.7,153.4,46.4,3.75,-104.83,57.2,216.25,-109.17,101,L,219
home,46.3,-170.8,53.6,-3.75,-111.33,42.8,216.25,-105.83,118,W,219
away,58.6,-139,55.6,-2.5,-107.83,59.4,218.25,-107.67,124,W,247
home,41.4,122.4,44.4,2.5,-107.17,40.6,218.25,-107.33,123,L,247
away,63.1,128.6,54.6,2.58,-107.17,46.9,214.25,-109.33,92,L,200
home,36.9,-145.2,45.4,-2.58,-107.83,53.1,214.25,-106.5,108,W,200
away,54.7,310.6,47.8,8.25,-108.5,63.5,213.42,-106.17,112,L,244
home,45.3,-375.8,52.2,-8.25,-106.5,36.5,213.42,-108.83,132,W,244
away,42.9,113,43.7,1.5,-106.5,62.7,219.08,-110,117,W,230
home,57.1,-129.4,56.3,-1.5,-108.5,37.3,219.08,-105.83,113,L,230
away,47.2,-505.6,51,-9.33,-109.33,52.9,210.5,-109.33,103,W,204
home,52.8,405.6,49,9.33,-106.5,47.1,210.5,-105.67,101,L,204
away,60.5,842.2,42.9,12.58,-107.17,58.1,217.42,-107,115,L,231
home,39.5,-1209,57.1,-12.58,-107.83,41.9,217.42,-108,116,W,231
away,52.3,143.2,52,3.75,-109,58.3,219.08,-111,113,W,225
home,47.7,-160.2,48,-3.75,-106,41.7,219.08,-104.83,112,L,225
away,55.4,-193.8,49.3,-4.33,-108,62.6,216.33,-106.67,118,W,234
home,44.6,169.8,50.7,4.33,-107,37.4,216.33,-108.33,116,L,234
away,55.9,108.4,46.1,1,-105.33,66.5,219.67,-108.83,136,L,276
home,44.1,-124.8,53.9,-1,-109.67,33.5,219.67,-106.17,140,W,276
away,63.1,448.8,52.3,9.92,-106.67,68,224.33,-106.67,91,L,210
home,36.9,-567.4,47.7,-9.92,-108.33,32,224.33,-109.5,119,W,210
away,42.2,168.6,43.9,4.42,-105.33,64.7,213.58,-109.33,108,L,229
home,57.8,-190.6,56.1,-4.42,-109.67,35.3,213.58,-105.67,121,W,229
